Label;Location;Site;Plot_replicate;Meshbag_replicate;Treatment;ITEX;NPKD;Pot+sand_wet_(g);Pot+sand_dry_(g);wet_(g);proportion_water_in_sample_(%);sample_weight_wet_(g);sample_weight_dry_(g);Hyphae_uns;Hyphae_sept;Total_hyphae;Count_strikes;Hyphal_length_uns;Hyphal_length_sept;Total_hyphal_length;lab_analyses;Meshbag_collected;Extra
25-ch-cont-6-2;Davos;Jat1;2;B;Control;YES;NO;45,71;42,9;2,81;0,06;10,7;10,04;242;228;470;25;958,95;903,48;1862,43;12/nov;;
25-ch-cont-6-2;Davos;Jat1;2;A;Control;YES;NO;45,71;42,9;2,81;0,06;10,85;10,18;386;118;504;25;1508,42;461,12;1969,55;12/nov;;roots
25-ch-OTC-14-1;Davos;Jat1;1;A;OTC;YES;NO;54,96;50,96;4;0,07;10,73;9,95;203;912;1115;25;811,94;3647,75;4459,69;7/nov;;
25-ch-OTC-14-1;Davos;Jat1;1;B;OTC;YES;NO;54,96;50,96;4;0,07;11,26;10,44;971;115;1086;25;3700,93;438,32;4139,24;7/nov;;
25-ch-OTC-14-2;Davos;Jat1;2;A;OTC;YES;NO;40,16;39,94;0,22;0,01;11,23;11,17;165;126;291;25;587,9;448,94;1036,84;12/nov;;wet, roots
25-ch-OTC-14-2;Davos;Jat1;2;B;OTC;YES;NO;40,16;39,94;0,22;0,01;10,5;10,44;171;95;266;25;651,64;362,02;1013,66;12/nov;;wet
25-ch-OTC-19-1;Davos;Jat1;1;A;OTC;YES;NO;48,27;46,96;1,31;0,03;11,43;11,12;110;437;547;25;393,65;1563,86;1957,5;12/nov;;wet
25-ch-OTC-19-1;Davos;Jat1;1;B;OTC;YES;NO;48,27;46,96;1,31;0,03;10,85;10,56;212;201;413;25;799,22;757,75;1556,98;12/nov;;wet
25-ch-OTC-6-1;Davos;Jat1;1;B;OTC;YES;NO;59,84;56,29;3,55;0,06;10,61;9,98;6543;2;6545;25;26087,6;7,97;26095,57;7/nov;;Broken meshbag,wet
25-ch-OTC-6-1;Davos;Jat1;1;A;OTC;YES;NO;59,84;56,29;3,55;0,06;10,84;10,2;9999;15;10014;25;39021,13;58,54;39079,67;7/nov;;Broken meshbag,wet, roots
25-ch-OTC-6-2;Davos;Jat1;2;A;OTC;YES;NO;46,64;43,88;2,76;0,06;10,77;10,13;376;118;494;25;1476,65;463,42;1940,06;7/nov;;roots
25-ch-OTC-6-2;Davos;Jat1;2;B;OTC;YES;NO;46,64;43,88;2,76;0,06;10,93;10,28;704;49;753;25;2724,31;189,62;2913,93;7/nov;;roots
Ad-ad-cont-1-1;Andorra;And1;1;B;Control;YES;NO;56,98;54,22;2,76;0,05;11,12;10,58;74;124;198;25;278,29;466,33;744,62;12/sep;21/jul;
Ad-ad-cont-1-1;Andorra;And1;1;A;Control;YES;NO;56,98;54,22;2,76;0,05;10,95;10,42;197;119;316;25;752,36;454,47;1206,84;12/sep;21/jul;
Ad-ad-cont-2-2;Andorra;And1;2;B;Control;YES;NO;60,79;57,21;3,58;0,06;10,97;10,32;126;78;204;25;485,66;300,65;786,31;19/sep;21/jul;
Ad-ad-cont-2-2;Andorra;And1;2;A;Control;YES;NO;60,79;57,21;3,58;0,06;11,42;10,75;197;73;270;25;729,41;270,29;999,7;19/sep;21/jul;
Ad-ad-cont-3-1;Andorra;And1;1;B;Control;YES;NO;42,09;40,88;1,21;0,03;11,24;10,92;179;176;355;25;652,48;641,54;1294,02;12/sep;21/jul;
Ad-ad-cont-3-1;Andorra;And1;1;A;Control;YES;NO;42,09;40,88;1,21;0,03;11,4;11,07;183;190;373;25;657,7;682,86;1340,55;12/sep;21/jul;
Ad-ad-cont-3-2;Andorra;And1;2;A;Control;YES;NO;57,89;54,13;3,76;0,06;10,99;10,28;49;74;123;25;189,75;286,56;476,31;12/sep;21/jul;
Ad-ad-cont-3-2;Andorra;And1;2;B;Control;YES;NO;57,89;54,13;3,76;0,06;10,95;10,24;143;116;259;25;555,78;450,84;1006,61;12/sep;21/jul;
Ad-ad-cont-4-1;Andorra;And1;1;B;Control;YES;NO;53,85;50,87;2,98;0,06;10,86;10,26;52;53;105;25;201,7;205,58;407,28;23/sep;21/jul;
Ad-ad-cont-4-1;Andorra;And1;1;A;Control;YES;NO;53,85;50,87;2,98;0,06;11,16;10,54;110;68;178;25;415,21;256,67;671,88;23/sep;21/jul;
Ad-ad-OTC-1-1;Andorra;And1;1;B;OTC;YES;NO;49,75;44,68;5,07;0,1;10,86;9,75;308;206;514;25;1256,65;840,48;2097,13;23/sep;21/jul;
Ad-ad-OTC-1-1;Andorra;And1;1;A;OTC;YES;NO;49,75;44,68;5,07;0,1;11,04;9,91;383;413;796;25;1537,17;1657,57;3194,74;23/sep;21/jul;
Ad-ad-OTC-1-2;Andorra;And1;2;B;OTC;YES;NO;49,84;46,95;2,89;0,06;11,16;10,51;10;570;580;25;37,85;2157,57;2195,42;12/sep;21/jul;
Ad-ad-OTC-1-2;Andorra;And1;2;A;OTC;YES;NO;49,84;46,95;2,89;0,06;11,1;10,46;92;370;462;25;350,12;1408,1;1758,22;12/sep;21/jul;
Ad-ad-OTC-2-1;Andorra;And1;1;B;OTC;YES;NO;55,33;52,73;2,6;0,05;11,35;10,82;54;230;284;25;198,66;846,15;1044,81;11/sep;21/jul;
Ad-ad-OTC-2-1;Andorra;And1;1;A;OTC;YES;NO;55,33;52,73;2,6;0,05;10,89;10,38;106;312;418;25;406,44;1196,3;1602,74;11/sep;21/jul;
Ad-ad-OTC-3-1;Andorra;And1;1;A;OTC;YES;NO;52,69;49,87;2,82;0,05;11,28;10,68;12;58;70;25;44,73;216,18;260,91;12/sep;21/jul;
Ad-ad-OTC-3-1;Andorra;And1;1;B;OTC;YES;NO;52,69;49,87;2,82;0,05;11,38;10,77;35;60;95;25;129,31;221,67;350,98;12/sep;21/jul;
Ad-ad-OTC-3-2;Andorra;And1;2;A;OTC;YES;NO;56,88;54,03;2,85;0,05;11,15;10,59;157;132;289;25;589,88;495,95;1085,82;23/sep;21/jul;
Ad-ad-OTC-3-2;Andorra;And1;2;B;OTC;YES;NO;56,88;54,03;2,85;0,05;11,18;10,62;159;131;290;25;595,79;490,87;1086,66;23/sep;21/jul;
Ad-ad-OTC-4-1;Andorra;And1;1;A;OTC;YES;NO;52,75;49,22;3,53;0,07;10,44;9,74;110;384;494;25;449,35;1568,64;2017,99;23/sep;21/jul;
Ad-ad-OTC-4-1;Andorra;And1;1;B;OTC;YES;NO;52,75;49,22;3,53;0,07;10,74;10,02;194;415;609;25;770,35;1647,92;2418,28;23/sep;21/jul;
Ad-ad-OTC-4-2;Andorra;And1;2;A;OTC;YES;NO;54,16;51,96;2,2;0,04;11,31;10,85;118;312;430;25;432,75;1144,23;1576,99;19/sep;21/jul;
