Label;Location;Site;Plot_replicate;Meshbag_replicate;Treatment;ITEX;NPKD;Hyphal_length_uns;Hyphal_length_sept;Total_hyphal_length
Fi-no-OTC-3A;Finse;Fins1;1;B;OTC;YES;NO;678,27;1360,42;2038,69
Fi-no-OTC-4B;Finse;Fins1;1;A;OTC;YES;NO;652,83;883,96;1536,78
Fi-no-OTC-4B;Finse;Fins1;1;B;OTC;YES;NO;983,87;436,85;1420,72
Fi-no-OTC-5B;Finse;Fins1;1;A;OTC;YES;NO;664,58;2621,84;3286,42
Fi-no-OTC-5B;Finse;Fins1;1;B;OTC;YES;NO;249,28;686,48;935,76
Fn-pa-no-cont-1P;Finnmark;Finn1;1;A;Control;YES;NO;773,05;15,78;788,83
Fn-pa-no-cont-1P;Finnmark;Finn1;1;B;Control;YES;NO;242,65;82,19;324,84
Fn-pa-no-cont-3P;Finnmark;Finn1;1;A;Control;YES;NO;128,9;49,58;178,48
Fn-pa-no-cont-3P;Finnmark;Finn1;1;B;Control;YES;NO;204,01;52,46;256,47
Fn-pa-no-cont-4P;Finnmark;Finn1;1;A;Control;YES;NO;81,49;300,73;382,22
Fn-pa-no-cont-4P;Finnmark;Finn1;1;B;Control;YES;NO;217,54;433,08;650,63
Fn-pa-no-cont-BP;Finnmark;Finn1;1;A;Control;YES;NO;781,2;316,76;1097,96
Fn-pa-no-cont-BP;Finnmark;Finn1;1;B;Control;YES;NO;417,76;307,29;725,05
Fn-pa-no-OTC-3P;Finnmark;Finn1;1;A;OTC;YES;NO;235,11;338,34;573,45
Fn-pa-no-OTC-3P;Finnmark;Finn1;1;B;OTC;YES;NO;82,52;159,14;241,66
Fn-pa-no-OTC-4P;Finnmark;Finn1;1;A;OTC;YES;NO;140,89;534,99;675,89
Fn-pa-no-OTC-4P;Finnmark;Finn1;1;B;OTC;YES;NO;331,06;128,41;459,47
Fn-pa-no-OTC-BP;Finnmark;Finn1;1;A;OTC;YES;NO;45,5;253,24;298,74
Fn-pa-no-OTC-BP;Finnmark;Finn1;1;B;OTC;YES;NO;140,93;133,1;274,04
Fn-th-no-cont-4M;Finnmark;Finn2;1;A;Control;YES;NO;103,73;78,76;182,48
Fn-th-no-cont-4M;Finnmark;Finn2;1;B;Control;YES;NO;60,61;31,28;91,89
Fn-th-no-cont-BM;Finnmark;Finn2;1;A;Control;YES;NO;839,79;107,92;947,71
Fn-th-no-cont-BM;Finnmark;Finn2;1;B;Control;YES;NO;96,32;0;96,32
Fn-th-no-OTC-3M;Finnmark;Finn2;1;A;OTC;YES;NO;0;0;0
Fn-th-no-OTC-3M;Finnmark;Finn2;1;B;OTC;YES;NO;76,97;17,76;94,73
Fn-th-no-OTC-4M;Finnmark;Finn2;1;A;OTC;YES;NO;210,59;57,07;267,66
Fn-th-no-OTC-4M;Finnmark;Finn2;1;B;OTC;YES;NO;40,44;34,66;75,11
Fn-th-no-OTC-BM;Finnmark;Finn2;1;A;OTC;YES;NO;428,24;24,52;452,76
Fn-th-no-OTC-BM;Finnmark;Finn2;1;B;OTC;YES;NO;526,62;47,87;574,5
Ki-fi-cont-1;Kilpisjärvi;Kil1;1;A;Control;YES;NO;35,85;88,67;124,52
Ki-fi-cont-1;Kilpisjärvi;Kil1;1;B;Control;YES;NO;100,73;130,36;231,09
Ki-fi-cont-2;Kilpisjärvi;Kil1;1;A;Control;YES;NO;0;5,83;5,83
Ki-fi-cont-2;Kilpisjärvi;Kil1;1;B;Control;YES;NO;19,39;38,78;58,17
Ki-fi-cont-3;Kilpisjärvi;Kil1;1;A;Control;YES;NO;18,52;45,27;63,79
Ki-fi-cont-3;Kilpisjärvi;Kil1;1;B;Control;YES;NO;107,52;251,51;359,03
Ki-fi-cont-4;Kilpisjärvi;Kil1;1;A;Control;YES;NO;5,99;19,97;25,95
Ki-fi-cont-4;Kilpisjärvi;Kil1;1;B;Control;YES;NO;25,89;43,14;69,03
Ki-fi-cont-5;Kilpisjärvi;Kil1;1;A;Control;YES;NO;43,66;152,83;196,49
Ki-fi-cont-5;Kilpisjärvi;Kil1;1;B;Control;YES;NO;0;85,79;85,79
Ki-fi-OTC-1;Kilpisjärvi;Kil1;1;A;OTC;YES;NO;0;191,33;191,33
Ki-fi-OTC-1;Kilpisjärvi;Kil1;1;B;OTC;YES;NO;0;232,42;232,42
Ki-fi-OTC-2;Kilpisjärvi;Kil1;1;A;OTC;YES;NO;265,74;171,83;437,57
Ki-fi-OTC-2;Kilpisjärvi;Kil1;1;B;OTC;YES;NO;532,33;188;720,32
Ki-fi-OTC-3;Kilpisjärvi;Kil1;1;A;OTC;YES;NO;221,86;64,22;286,08
Ki-fi-OTC-3;Kilpisjärvi;Kil1;1;B;OTC;YES;NO;184,32;19,61;203,93
Ki-fi-OTC-4;Kilpisjärvi;Kil1;1;A;OTC;YES;NO;145,32;104,71;250,03
Ki-fi-OTC-4;Kilpisjärvi;Kil1;1;B;OTC;YES;NO;218,2;164,17;382,37
Ki-fi-OTC-5;Kilpisjärvi;Kil1;1;A;OTC;YES;NO;98,03;131,41;229,44
