"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"ASV_72" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Nectriaceae" "g__Neonectria" NA
"ASV_73" "k__Fungi" "p__Rozellomycota" "c__Rozellomycotina_cls_Incertae_sedis" "o__Branch03" "f__Branch03_fam_Incertae_sedis" "g__Branch03_gen_Incertae_sedis" NA
"ASV_74" "k__Fungi" "p__Ascomycota" "c__Archaeorhizomycetes" "o__Archaeorhizomycetales" "f__Archaeorhizomycetaceae" "g__Archaeorhizomyces" NA
"ASV_75" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Leptosphaeriaceae" "g__Leptosphaeria" NA
"ASV_76" "k__Fungi" "p__Rozellomycota" "c__Rozellomycota_cls_Incertae_sedis" "o__Rozellomycota_ord_Incertae_sedis" "f__Rozellomycota_fam_Incertae_sedis" NA NA
"ASV_77" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Paraphoma" "s__ledniceana"
"ASV_78" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Phaeotremellaceae" "g__Phaeotremella" NA
"ASV_79" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Discinellaceae" "g__Gyoerffyella" NA
"ASV_80" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Podila" "s__humilis"
"ASV_81" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Sebacinales" "f__Serendipitaceae" NA NA
"ASV_82" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Thelephorales" "f__Thelephoraceae" "g__Tomentella" "s__badia"
"ASV_83" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Cystofilobasidiales" "f__Mrakiaceae" "g__Mrakiaceae_gen_Incertae_sedis" NA
"ASV_84" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Thelephorales" "f__Thelephoraceae" "g__Tomentella" NA
"ASV_85" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" "g__Neoascochyta" "s__desmazieri"
"ASV_86" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Sarocladiaceae" "g__Sarocladium" "s__summerbellii"
"ASV_87" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Linnemannia" "s__gamsii"
"ASV_88" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Eurotiales" "f__Aspergillaceae" "g__Aspergillus" NA
"ASV_89" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Thelephorales" "f__Thelephoraceae" "g__Thelephora" "s__terrestris"
"ASV_90" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" NA
"ASV_91" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Thelephorales" "f__Thelephoraceae" "g__Pseudotomentella" NA
"ASV_92" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Thelephorales" "f__Thelephoraceae" "g__Thelephora" "s__atra"
"ASV_93" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Cordycipitaceae" "g__Beauveria" NA
"ASV_94" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Trichosporonales" "f__Trichosporonaceae" "g__Apiotrichum" "s__dehoogii"
