"Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"ASV_8240" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_8241" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Neoschizotheciaceae" "g__Neoschizothecium" NA
"ASV_8242" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Entolomataceae" "g__Clitopilus" "s__baronii"
"ASV_8243" "k__Fungi" "p__Basidiomycota" "c__Exobasidiomycetes" "o__Georgefischeriales" "f__Tilletiariaceae" "g__Tilletiaria" "s__anomala"
"ASV_8244" "k__Fungi" NA NA NA NA NA NA
"ASV_8245" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Thelephorales" "f__Thelephoraceae" "g__Pseudotomentella" NA
"ASV_8246" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Amphisphaeriales" "f__Apiosporaceae" "g__Arthrinium" "s__crenatum"
"ASV_8247" "k__Fungi" "p__Zoopagomycota" "c__Zoopagomycetes" "o__Zoopagales" "f__Piptocephalidaceae" "g__Syncephalis" NA
"ASV_8248" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_8249" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Hyaloscyphaceae" NA NA
"ASV_8250" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" NA NA NA
"ASV_8251" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Sordariales" "f__Chaetomiaceae" "g__Humicola" "s__quadrangulata"
"ASV_8252" "k__Fungi" NA NA NA NA NA NA
"ASV_8253" "k__Fungi" NA NA NA NA NA NA
"ASV_8254" "k__Fungi" "p__Olpidiomycota" "c__Olpidiomycetes" "o__Olpidiales" "f__Olpidiaceae" "g__Olpidiaceae_gen_Incertae_sedis" NA
"ASV_8255" "k__Fungi" NA NA NA NA NA NA
"ASV_8256" "k__Fungi" NA NA NA NA NA NA
"ASV_8257" "k__Fungi" NA NA NA NA NA NA
"ASV_8258" "k__Fungi" "p__Rozellomycota" "c__Rozellomycota_cls_Incertae_sedis" "o__Rozellomycota_ord_Incertae_sedis" "f__Rozellomycota_fam_Incertae_sedis" "g__Rozellomycota_gen_Incertae_sedis" NA
"ASV_8259" "k__Fungi" "p__Zoopagomycota" "c__Zoopagomycetes" "o__Zoopagales" "f__Piptocephalidaceae" "g__Syncephalis" "s__intermedia"
"ASV_8260" "k__Fungi" NA NA NA NA NA NA
"ASV_8261" "k__Fungi" NA NA NA NA NA NA
"ASV_8262" "k__Fungi" "p__Zoopagomycota" "c__Zoopagomycetes" "o__Zoopagales" "f__Piptocephalidaceae" "g__Syncephalis" NA
"ASV_8263" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiales_fam_Incertae_sedis" "g__Infundichalara" NA
"ASV_8264" "k__Fungi" NA NA NA NA NA NA
"ASV_8265" "k__Fungi" "p__Chytridiomycota" NA NA NA NA NA
"ASV_8266" "k__Fungi" "p__Chytridiomycota" "c__Rhizophydiomycetes" "o__Rhizophydiales" "f__Alphamycetaceae" "g__Betamyces" NA
"ASV_8267" "k__Fungi" "p__Chytridiomycota" NA NA NA NA NA
"ASV_8268" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Cenangiaceae" NA NA
"ASV_8269" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Tremellodendropsidales" "f__Tremellodendropsidales_fam_Incertae_sedis" "g__Tremellodendropsidales_gen_Incertae_sedis" NA
"ASV_8270" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Filobasidiales" "f__Filobasidiaceae" "g__Heterocephalacria" NA
"ASV_8271" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiales_fam_Incertae_sedis" "g__Rhexocercosporidium" NA
"ASV_8272" "k__Fungi" "p__Basidiomycota" "c__Microbotryomycetes" "o__Kriegeriales" "f__Kriegeriaceae" "g__Phenoliferia" NA
"ASV_8273" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Russulales" "f__Peniophoraceae" "g__Peniophora" "s__simulans"
"ASV_8274" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Sporormiaceae" "g__Preussia" "s__minipascua"
"ASV_8275" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Mycosphaerellales" "f__Mycosphaerellaceae" "g__Ramularia" "s__lamii"
"ASV_8276" "k__Fungi" "p__Sanchytriomycota" "c__Sanchytriomycetes" "o__Sanchytriomycetes_ord_Incertae_sedis" "f__Sanchytriomycetes_fam_Incertae_sedis" "g__Sanchytriomycetes_gen_Incertae_sedis" NA
"ASV_8277" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Corticiales" "f__Vuilleminiaceae" "g__Cytidia" "s__salicina"
"ASV_8278" "k__Fungi" NA NA NA NA NA NA
"ASV_8279" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Microthyriales" "f__Microthyriales_fam_Incertae_sedis" "g__Microthyriales_gen_Incertae_sedis" NA
"ASV_8280" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Cantharellales" "f__Ceratobasidiaceae" "g__Ceratobasidium" NA
"ASV_8281" "k__Fungi" "p__Ascomycota" "c__Saccharomycetes" "o__Saccharomycetales" NA NA NA
"ASV_8282" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Mycenaceae" "g__Hemimycena" "s__lactea"
"ASV_8283" "k__Fungi" NA NA NA NA NA NA
"ASV_8284" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Erysiphaceae" "g__Podosphaera" "s__lini"
"ASV_8285" "k__Fungi" NA NA NA NA NA NA
"ASV_8286" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Linnemannia" NA
"ASV_8287" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Bulleribasidiaceae" "g__Vishniacozyma" NA
"ASV_8288" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Tremellaceae" "g__Tremella" "s__diploschistina"
"ASV_8289" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Thelephorales" "f__Thelephoraceae" "g__Tomentella" "s__badia"
"ASV_8290" "k__Fungi" "p__Chytridiomycota" "c__Rhizophydiomycetes" "o__Rhizophydiales" NA NA NA
"ASV_8291" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Phaeotremellaceae" "g__Phaeotremella" NA
"ASV_8292" "k__Fungi" "p__Ascomycota" "c__Lecanoromycetes" "o__Lecanorales" "f__Pilocarpaceae" "g__Micarea" NA
"ASV_8293" "k__Fungi" NA NA NA NA NA NA
"ASV_8294" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Trimorphomycetaceae" "g__Saitozyma" "s__podzolica"
"ASV_8295" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Hyaloscyphaceae" "g__Arbusculina" "s__fragmentans"
"ASV_8296" "k__Fungi" NA NA NA NA NA NA
"ASV_8297" "k__Fungi" NA NA NA NA NA NA
"ASV_8298" "k__Fungi" "p__Chytridiomycota" NA NA NA NA NA
"ASV_8299" "k__Fungi" NA NA NA NA NA NA
"ASV_8300" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_8301" "k__Fungi" "p__Rozellomycota" "c__Rozellomycotina_cls_Incertae_sedis" "o__GS05" "f__GS05_fam_Incertae_sedis" "g__GS05_gen_Incertae_sedis" NA
"ASV_8302" "k__Fungi" "p__Basidiomycota" NA NA NA NA NA
"ASV_8303" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Boletales" "f__Boletaceae" "g__Boletus" "s__calopus"
"ASV_8304" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Glomus" "s__macrocarpum"
"ASV_8305" "k__Fungi" NA NA NA NA NA NA
"ASV_8306" "k__Fungi" NA NA NA NA NA NA
"ASV_8307" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Ophiocordycipitaceae" NA NA
"ASV_8308" "k__Fungi" "p__Chytridiomycota" "c__Chytridiomycetes" "o__Chytridiales" "f__Chytridiaceae" "g__Irineochytrium" "s__annulatum"
"ASV_8309" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Herpotrichiellaceae" "g__Exophiala" "s__moniliae"
"ASV_8310" "k__Fungi" NA NA NA NA NA NA
"ASV_8311" "k__Fungi" NA NA NA NA NA NA
"ASV_8312" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Discinellaceae" "g__Pezoloma" "s__ericae"
"ASV_8313" "k__Fungi" NA NA NA NA NA NA
"ASV_8314" "k__Fungi" NA NA NA NA NA NA
"ASV_8315" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"ASV_8316" "k__Fungi" "p__Ascomycota" "c__Archaeorhizomycetes" "o__Archaeorhizomycetales" "f__Archaeorhizomycetaceae" "g__Archaeorhizomyces" NA
"ASV_8317" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" NA NA NA
"ASV_8318" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Herpotrichiellaceae" "g__Cladophialophora" "s__minutissima"
"ASV_8319" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" NA NA
"ASV_8320" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_8321" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_8322" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" NA NA NA
"ASV_8323" "k__Fungi" "p__Rozellomycota" "c__Rozellomycota_cls_Incertae_sedis" "o__Rozellomycota_ord_Incertae_sedis" "f__Rozellomycota_fam_Incertae_sedis" "g__Rozellomycota_gen_Incertae_sedis" NA
"ASV_8324" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Filobasidiales" "f__Piskurozymaceae" "g__Solicoccozyma" "s__terricola"
"ASV_8325" "k__Fungi" NA NA NA NA NA NA
"ASV_8326" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_8327" "k__Fungi" NA NA NA NA NA NA
"ASV_8328" "k__Fungi" "p__Olpidiomycota" "c__GS17" "o__GS17_ord_Incertae_sedis" "f__GS17_fam_Incertae_sedis" "g__GS17_gen_Incertae_sedis" NA
"ASV_8329" "k__Fungi" NA NA NA NA NA NA
"ASV_8330" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Linnemannia" NA
"ASV_8331" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Venturiales" "f__Venturiaceae" "g__Venturia" NA
"ASV_8332" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Amphisphaeriales" "f__Sporocadaceae" "g__Synnemapestaloides" "s__rhododendri"
"ASV_8333" "k__Fungi" NA NA NA NA NA NA
"ASV_8334" "k__Fungi" "p__Ascomycota" "c__Orbiliomycetes" "o__Orbiliales" "f__Orbiliaceae" "g__Orbilia" NA
"ASV_8335" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Hymenochaetales" "f__Hymenochaetales_fam_Incertae_sedis" "g__Hymenochaetales_gen_Incertae_sedis" NA
"ASV_8336" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Mycosphaerellales" "f__Teratosphaeriaceae" "g__Bryochiton" NA
"ASV_8337" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Discinellaceae" "g__Pezoloma" "s__ericae"
"ASV_8338" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"ASV_8339" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Tremellaceae" "g__Tremella" "s__diploschistina"
"ASV_8340" "k__Fungi" "p__Chytridiomycota" "c__Rhizophydiomycetes" "o__Rhizophydiales" "f__Rhizophydiales_fam_Incertae_sedis" "g__Rhizophydiales_gen_Incertae_sedis" NA
"ASV_8341" "k__Fungi" "p__Zoopagomycota" "c__Zoopagomycetes" "o__Zoopagales" "f__Piptocephalidaceae" "g__Syncephalis" "s__parvula"
"ASV_8342" "k__Fungi" NA NA NA NA NA NA
"ASV_8343" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Eurotiales" "f__Aspergillaceae" "g__Penicillium" "s__catenatum"
"ASV_8344" "k__Fungi" NA NA NA NA NA NA
"ASV_8345" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Phacidiales" "f__Phacidiales_fam_Incertae_sedis" "g__Phacidiales_gen_Incertae_sedis" NA
"ASV_8346" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Mycosphaerellales" "f__Mycosphaerellaceae" "g__Ramularia" "s__unterseheri"
"ASV_8347" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Clavariaceae" "g__Clavulinopsis" "s__corniculata"
"ASV_8348" "k__Fungi" NA NA NA NA NA NA
"ASV_8349" "k__Fungi" NA NA NA NA NA NA
"ASV_8350" "k__Fungi" NA NA NA NA NA NA
"ASV_8351" "k__Fungi" NA NA NA NA NA NA
"ASV_8352" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Hypocreales" "f__Hypocreales_fam_Incertae_sedis" "g__Hypocreales_gen_Incertae_sedis" NA
"ASV_8353" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__macrocystis"
"ASV_8354" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_8355" "k__Fungi" NA NA NA NA NA NA
"ASV_8356" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_8357" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiales_fam_Incertae_sedis" "g__Crocicreas" NA
"ASV_8358" "k__Fungi" "p__Olpidiomycota" "c__Olpidiomycetes" "o__Olpidiales" "f__Olpidiaceae" "g__Olpidiaceae_gen_Incertae_sedis" NA
"ASV_8359" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__globalpina"
"ASV_8360" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Russulales" "f__Peniophoraceae" "g__Peniophoraceae_gen_Incertae_sedis" NA
"ASV_8361" "k__Fungi" NA NA NA NA NA NA
"ASV_8362" "k__Fungi" NA NA NA NA NA NA
"ASV_8363" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Mycosphaerellales" "f__Mycosphaerellaceae" "g__Zymoseptoria" "s__crescenta"
"ASV_8364" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_8365" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Auriculariales" "f__Auriculariaceae" "g__Auricularia" NA
"ASV_8366" "k__Fungi" NA NA NA NA NA NA
"ASV_8367" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" NA NA NA
"ASV_8368" "k__Fungi" "p__Ascomycota" "c__Orbiliomycetes" "o__Orbiliales" "f__Orbiliaceae" "g__Hyalorbilia" "s__rotifera"
"ASV_8369" "k__Fungi" "p__Ascomycota" "c__Orbiliomycetes" "o__Orbiliales" "f__Orbiliaceae" "g__Hyalorbilia" "s__rotifera"
"ASV_8370" "k__Fungi" "p__Ascomycota" "c__Orbiliomycetes" "o__Orbiliales" "f__Orbiliaceae" "g__Dactylellina" "s__arcuata"
"ASV_8371" "k__Fungi" "p__Basidiomycota" "c__Agaricostilbomycetes" "o__Agaricostilbales" "f__Kondoaceae" NA NA
"ASV_8372" "k__Fungi" NA NA NA NA NA NA
"ASV_8373" "k__Fungi" NA NA NA NA NA NA
"ASV_8374" "k__Fungi" "p__Rozellomycota" "c__Rozellomycotina_cls_Incertae_sedis" "o__GS11" "f__GS11_fam_Incertae_sedis" "g__GS11_gen_Incertae_sedis" NA
"ASV_8375" "k__Fungi" "p__Basidiomycota" NA NA NA NA NA
"ASV_8376" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" "g__Neoascochyta" NA
"ASV_8377" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Filobasidiales" "f__Filobasidiaceae" "g__Filobasidiaceae_gen_Incertae_sedis" NA
"ASV_8378" "k__Fungi" "p__Ascomycota" "c__Saccharomycetes" "o__Saccharomycetales" "f__Metschnikowiaceae" "g__Metschnikowia" NA
"ASV_8379" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Muyocopronales" "f__Muyocopronaceae" "g__Leptodiscella" "s__africana"
"ASV_8380" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Bulleraceae" "g__Fonsecazyma" "s__mujuensis"
"ASV_8381" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__macrocystis"
"ASV_8382" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_8383" "k__Fungi" "p__Chytridiomycota" "c__Spizellomycetes" "o__Spizellomycetales" "f__Powellomycetaceae" "g__Powellomycetaceae_gen_Incertae_sedis" NA
"ASV_8384" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Cystofilobasidiales" "f__Mrakiaceae" "g__Udeniomyces" "s__megalosporus"
"ASV_8385" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Paraphoma" "s__chlamydocopiosa"
"ASV_8386" "k__Fungi" "p__Ascomycota" "c__Pezizomycotina_cls_Incertae_sedis" "o__Pezizomycotina_ord_Incertae_sedis" "f__Pezizomycotina_fam_Incertae_sedis" "g__Tricellula" NA
"ASV_8387" "k__Fungi" NA NA NA NA NA NA
"ASV_8388" "k__Fungi" NA NA NA NA NA NA
"ASV_8389" "k__Fungi" "p__Glomeromycota" "c__Glomeromycetes" "o__Glomerales" "f__Glomeraceae" "g__Dominikia" "s__aurea"
"ASV_8390" "k__Fungi" "p__Rozellomycota" "c__Rozellomycota_cls_Incertae_sedis" "o__Rozellomycota_ord_Incertae_sedis" "f__Rozellomycota_fam_Incertae_sedis" "g__Rozellomycota_gen_Incertae_sedis" NA
"ASV_8391" "k__Fungi" "p__Chytridiomycota" NA NA NA NA NA
"ASV_8392" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_8393" "k__Fungi" NA NA NA NA NA NA
"ASV_8394" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" NA NA NA NA
"ASV_8395" "k__Fungi" "p__Ascomycota" "c__Saccharomycetes" "o__Saccharomycetales" NA NA NA
"ASV_8396" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiaceae" "g__Gremmenia" "s__infestans"
"ASV_8397" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Atractosporales" "f__Atractosporaceae" "g__Atractospora" "s__verruculosa"
"ASV_8398" "k__Fungi" "p__Ascomycota" "c__Lecanoromycetes" "o__Lecanorales" "f__Ramalinaceae" "g__Bacidina" NA
"ASV_8399" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" NA NA NA
"ASV_8400" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Bulleraceae" "g__Genolevuria" NA
"ASV_8401" "k__Fungi" "p__Ascomycota" "c__Saccharomycetes" "o__Saccharomycetales" "f__Metschnikowiaceae" "g__Metschnikowia" NA
"ASV_8402" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" NA NA NA NA
"ASV_8403" "k__Fungi" NA NA NA NA NA NA
"ASV_8404" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Onygenales" "f__Onygenaceae" "g__Castanedomyces" "s__australiensis"
"ASV_8405" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Filobasidiales" "f__Filobasidiaceae" "g__Filobasidium" NA
"ASV_8406" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" NA NA NA
"ASV_8407" "k__Fungi" "p__Basidiomycota" "c__Microbotryomycetes" "o__Leucosporidiales" "f__Leucosporidiales_fam_Incertae_sedis" "g__Leucosporidiales_gen_Incertae_sedis" NA
"ASV_8408" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Pleosporaceae" "g__Alternaria" "s__obclavata"
"ASV_8409" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Coronophorales" "f__Ceratostomataceae" "g__Harzia" "s__acremonioides"
"ASV_8410" "k__Fungi" NA NA NA NA NA NA
"ASV_8411" "k__Fungi" "p__Ascomycota" "c__Lecanoromycetes" "o__Lecanorales" "f__Pilocarpaceae" "g__Micarea" "s__nigella"
"ASV_8412" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Cortinariaceae" "g__Cortinarius" "s__albolens"
"ASV_8413" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_8414" "k__Fungi" NA NA NA NA NA NA
"ASV_8415" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_8416" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_8417" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiaceae" "g__Hymenoscyphus" "s__tetracladius"
"ASV_8418" "k__Fungi" "p__Ascomycota" "c__Saccharomycetes" "o__Saccharomycetales" "f__Metschnikowiaceae" "g__Metschnikowia" NA
"ASV_8419" "k__Fungi" "p__Basidiomycota" "c__Agaricostilbomycetes" "o__Agaricostilbales" "f__Agaricostilbales_fam_Incertae_sedis" "g__Agaricostilbales_gen_Incertae_sedis" NA
"ASV_8420" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Mycosphaerellales" "f__Mycosphaerellaceae" "g__Ramularia" "s__geraniicola"
"ASV_8421" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_8422" "k__Fungi" NA NA NA NA NA NA
"ASV_8423" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" NA NA NA NA
"ASV_8424" "k__Fungi" NA NA NA NA NA NA
"ASV_8425" "k__Fungi" "p__Basidiomycota" "c__Exobasidiomycetes" "o__Georgefischeriales" "f__Georgefischeriaceae" "g__Jamesdicksonia" NA
"ASV_8426" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiales_fam_Incertae_sedis" "g__Crocicreas" "s__epifagicola"
"ASV_8427" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Auriculariales" "f__Auriculariales_fam_Incertae_sedis" "g__Auriculariales_gen_Incertae_sedis" NA
"ASV_8428" "k__Fungi" NA NA NA NA NA NA
"ASV_8429" "k__Fungi" NA NA NA NA NA NA
"ASV_8430" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellales" "f__Bulleribasidiaceae" "g__Vishniacozyma" NA
"ASV_8431" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Didymellaceae" NA NA
"ASV_8432" "k__Fungi" NA NA NA NA NA NA
"ASV_8433" "k__Fungi" "p__Chytridiomycota" NA NA NA NA NA
"ASV_8434" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Phaeosphaeriaceae" "g__Chaetosphaeronema" NA
"ASV_8435" "k__Fungi" NA NA NA NA NA NA
"ASV_8436" "k__Fungi" "p__Basidiomycota" "c__Exobasidiomycetes" "o__Exobasidiales" "f__Exobasidiaceae" "g__Exobasidium" NA
"ASV_8437" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_8438" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiales_fam_Incertae_sedis" "g__Crocicreas" NA
"ASV_8439" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Hymenochaetales" "f__Hymenochaetales_fam_Incertae_sedis" "g__Hymenochaetales_gen_Incertae_sedis" NA
"ASV_8440" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" NA NA NA
"ASV_8441" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Hygrophoraceae" "g__Hygrocybe" "s__acutoconica"
"ASV_8442" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Filobasidiales" "f__Piskurozymaceae" "g__Piskurozyma" "s__stramentorum"
"ASV_8443" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Cladoriellales" "f__Cladoriellaceae" "g__Cladoriellaceae_gen_Incertae_sedis" NA
"ASV_8444" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" "s__gemmifera"
"ASV_8445" "k__Fungi" "p__Basidiomycota" NA NA NA NA NA
"ASV_8446" "k__Fungi" "p__Chytridiomycota" NA NA NA NA NA
"ASV_8447" "k__Fungi" NA NA NA NA NA NA
"ASV_8448" "k__Fungi" "p__Mortierellomycota" "c__Mortierellomycetes" "o__Mortierellales" "f__Mortierellaceae" "g__Mortierella" NA
"ASV_8449" "k__Fungi" "p__Ascomycota" "c__Eurotiomycetes" "o__Chaetothyriales" "f__Herpotrichiellaceae" "g__Cladophialophora" "s__minutissima"
"ASV_8450" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Hyaloscyphaceae" "g__Hyaloscypha" "s__variabilis"
"ASV_8451" "k__Fungi" NA NA NA NA NA NA
"ASV_8452" "k__Fungi" NA NA NA NA NA NA
"ASV_8453" "k__Fungi" "p__Ascomycota" NA NA NA NA NA
"ASV_8454" "k__Fungi" "p__Chytridiomycota" "c__Lobulomycetes" "o__Lobulomycetales" "f__Lobulomycetaceae" "g__Lobulomyces" "s__angularis"
"ASV_8455" "k__Fungi" NA NA NA NA NA NA
"ASV_8456" "k__Fungi" "p__Basidiomycota" "c__Agaricomycetes" "o__Agaricales" "f__Hygrophoraceae" "g__Arrhenia" "s__chlorocyanea"
"ASV_8457" "k__Fungi" "p__Basidiomycota" "c__Tremellomycetes" "o__Tremellomycetes_ord_Incertae_sedis" "f__Tremellomycetes_fam_Incertae_sedis" "g__Tremellomycetes_gen_Incertae_sedis" NA
"ASV_8458" "k__Fungi" "p__Ascomycota" "c__Leotiomycetes" "o__Helotiales" "f__Helotiales_fam_Incertae_sedis" "g__Durella" "s__connivens"
"ASV_8459" "k__Fungi" "p__Ascomycota" "c__Sordariomycetes" "o__Conioscyphales" "f__Conioscyphaceae" "g__Conioscypha" "s__varia"
"ASV_8460" "k__Fungi" "p__Ascomycota" "c__Dothideomycetes" "o__Pleosporales" "f__Pyrenochaetopsidaceae" "g__Pyrenochaetopsis" "s__leptospora"
