GENUS	primary_lifestyle	Secondary_lifestyle	Comment_on_lifestyle_template	Endophytic_interaction_capability_template	Plant_pathogenic_capacity_template	Decay_substrate_template	Decay_type_template	Animal_biotrophic_capacity_template	Specific_hosts	Growth_form_template	Fruitbody_type_template	Hymenium_type_template	Ectomycorrhiza_exploration_type_template	Ectomycorrhiza_lineage_template	primary_photobiont	secondary_photobiont
Mycosphaerella	plant_pathogen	litter_saprotroph	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Mycosphaerelloides	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Mycovellosiella	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Neoceratosperma	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Neocercospora	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Neocercosporidium	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Neodeightoniella	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Neomycosphaerella	protistan_parasite	plant_pathogen	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed,protist_material	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Neopenidiella	epiphyte	litter_saprotroph	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Neophloeospora	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Neopseudocercospora	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Neopseudocercosporella	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Neoramichloridium	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Neoseptoria	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Nothopassalora	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Nothopericoniella	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Nothophaeocryptopus	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Pachyramichloridium	litter_saprotroph	wood_saprotroph	NA	NA	NA	wood,leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Pallidocercospora	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Pantospora	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Paracercospora	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Paracercosporidium	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Paramycosphaerella	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Paramycovellosiella	epiphyte	litter_saprotroph	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Parapallidocercospora	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Parastenella	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Passalora	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Phacellium	plant_pathogen	litter_saprotroph	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Phaeocercospora	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Phaeoisariopsis	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Phaeophleospora	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Phaeoramularia	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Phloeospora	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Placocrea	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Pleopassalora	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Pluripassalora	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Polyphialoseptoria	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Polysporella	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Polythrincium	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Protostegia	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Pseudocercospora	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Pseudocercosporella	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Pseudocercosporidium	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Pseudopericoniella	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Pseudophaeophleospora	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Pseudostigmidium	lichen_parasite	fungal_decomposer	NA	NA	NA	fungal_material,algal_material	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Pseudozasmidium	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Ragnhildiana	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Ramularia	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Ramulariopsis	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Ramulispora	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Rhachisphaerella	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Rosenscheldiella	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Rosisphaerella	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Ruptoseptoria	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Scirrhia	plant_pathogen	litter_saprotroph	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Scolecostigmina	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Septoria	plant_pathogen	litter_saprotroph	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Sirosporium	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Sonderhenia	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Sphaerellothecium	lichen_parasite	fungal_decomposer	NA	NA	NA	fungal_material,algal_material	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Sphaerulina	litter_saprotroph	plant_pathogen	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	thallus_photosynthetic	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Stenellopsis	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Sthughesia	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Stigmidium	lichen_parasite	fungal_decomposer	NA	NA	NA	fungal_material,algal_material	NA	NA	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Stigmina	plant_pathogen	litter_saprotroph	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Stromatoseptoria	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Sultanimyces	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Zasmidium	plant_pathogen	litter_saprotroph	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Zymoseptoria	plant_pathogen	litter_saprotroph	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Trochophora	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Uwemyces	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Wernerella	lichen_parasite	fungal_decomposer	NA	NA	NA	fungal_material,algal_material	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Verrucisporota	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Virosphaerella	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Xenomycosphaerella	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Xenopassalora	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Xenoramularia	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Xenosonderhenia	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Xenosonderhenioides	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Neodevriesia	plant_pathogen	litter_saprotroph	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Tripospermum	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Phaeotheca	plant_pathogen	litter_saprotroph	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Chaetothyrina	epiphyte	litter_saprotroph	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Exopassalora	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Houjia	epiphyte	litter_saprotroph	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Phaeothecoidiella	epiphyte	litter_saprotroph	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Repetophragma	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Rivilata	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Sporidesmajora	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Translucidithyrium	epiphyte	litter_saprotroph	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Piedraia	animal_parasite	animal_decomposer	NA	NA	NA	animal_material	NA	animal_parasite	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Racodium	lichenized	NA	NA	NA	NA	NA	NA	NA	NA	thallus_photosynthetic	none	none	NA	NA	trentepohlioid	NA
Amazonotheca	epiphyte	litter_saprotroph	NA	foliar_endophyte	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Hexagonella	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Kerniomyces	epiphyte	litter_saprotroph	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Lecideopsella	epiphyte	litter_saprotroph	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Metathyriella	epiphyte	litter_saprotroph	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Mycerema	epiphyte	litter_saprotroph	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Myriangiella	epiphyte	litter_saprotroph	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Plochmopeltis	epiphyte	litter_saprotroph	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Schizothyrium	epiphyte	plant_pathogen	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Zygophiala	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Vonarxella	epiphyte	litter_saprotroph	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Acidiella	soil_saprotroph	NA	NA	NA	NA	soil	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Acidomyces	soil_saprotroph	plant_pathogen	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed,soil	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Acrodontium	plant_pathogen	litter_saprotroph	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Apenidiella	litter_saprotroph	plant_pathogen	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Araucasphaeria	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Aulographina	plant_pathogen	litter_saprotroph	NA	foliar_endophyte	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Austroafricana	litter_saprotroph	foliar_endophyte	NA	foliar_endophyte	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Austrostigmidium	lichen_parasite	fungal_decomposer	NA	NA	NA	fungal_material,algal_material	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Batcheloromyces	plant_pathogen	litter_saprotroph	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Baudoinia	unspecified_saprotroph	rock-inhabiting	NA	NA	NA	soil	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Bryochiton	plant_pathogen	litter_saprotroph	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Camarosporula	epiphyte	plant_pathogen	NA	foliar_endophyte	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Capnobotryella	litter_saprotroph	rock-inhabiting	NA	NA	NA	leaf_fruit_seed,soil	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Capnocheirides	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Catenulostroma	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Constantinomyces	unspecified_saprotroph	rock-inhabiting	NA	NA	NA	soil	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Davisoniella	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Devriesia	plant_pathogen	litter_saprotroph	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Elasticomyces	lichen_parasite	fungal_decomposer	NA	NA	NA	fungal_material,algal_material	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Eupenidiella	animal_parasite	animal_decomposer	NA	NA	NA	animal_material	NA	animal_parasite_opportunistic_human_parasite	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Euteratosphaeria	plant_pathogen	NA	NA	NA	leaf_fruit_seed_pathogen	NA	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Fodinomyces	soil_saprotroph	NA	NA	NA	NA	soil	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Friedmanniomyces	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Hispidoconidioma	wood_saprotroph	NA	NA	NA	NA	wood	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Hortaea	animal_parasite	plant_pathogen	NA	NA	leaf_fruit_seed_pathogen	leaf_fruit_seed,animal_material	NA	animal_parasite_opportunistic_human_parasite	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Hyweljonesia	animal-associated	animal_decomposer	NA	NA	NA	animal_material	NA	animal-associated	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Incertomyces	unspecified_saprotroph	rock-inhabiting	NA	NA	NA	soil	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Lapidomyces	unspecified_saprotroph	rock-inhabiting	NA	NA	NA	soil	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Leptomelanconium	litter_saprotroph	NA	NA	NA	NA	leaf_fruit_seed	NA	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
