GENUS	primary_lifestyle	Secondary_lifestyle	Comment_on_lifestyle_template	Endophytic_interaction_capability_template	Plant_pathogenic_capacity_template	Decay_substrate_template	Decay_type_template	Animal_biotrophic_capacity_template	Specific_hosts	Growth_form_template	Fruitbody_type_template	Hymenium_type_template	Ectomycorrhiza_exploration_type_template	Ectomycorrhiza_lineage_template	primary_photobiont	secondary_photobiont
Rhizomucor	soil_saprotroph	NA	NA	NA	NA	soil	mold	opportunistic_human_parasite	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Zychaea	soil_saprotroph	NA	NA	NA	NA	soil	mold	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Thamnostylum	soil_saprotroph	NA	NA	NA	NA	soil	mold	opportunistic_human_parasite	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Thermomucor	soil_saprotroph	NA	NA	NA	NA	soil	mold	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Actinomucor	soil_saprotroph	animal_parasite	NA	NA	NA	soil,animal_material	mold	opportunistic_human_parasite	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Ambomucor	soil_saprotroph	dung_saprotroph	NA	NA	NA	soil,dung	mold	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Amylomyces	soil_saprotroph	NA	NA	NA	NA	soil	mold	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Benjaminiella	soil_saprotroph	NA	NA	NA	NA	soil	mold	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Chaetocladium	soil_saprotroph	mycoparasite	NA	NA	NA	soil,dung,fungal_material	mold	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Circinomucor	soil_saprotroph	NA	NA	NA	NA	soil	mold	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Cokeromyces	soil_saprotroph	NA	NA	NA	NA	soil	mold	opportunistic_human_parasite	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Dicranophora	mycoparasite	fungal_decomposer	NA	NA	NA	fungal_material	mold	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Ellisomyces	soil_saprotroph	dung_saprotroph	NA	NA	NA	soil,dung	mold	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
