Label;Shrub;Deciduous_shrub;Evergreen_shrub;Forb;Forb_nonNfix;Forb_Nfix;Graminoid;Grass;Sedge;Rush;Bryophyte;Lichen;Bare_Rock_Litter
Ul-no-cont-6-2;0.156028369;NA;NA;0.134751773;NA;NA;0.283687943;NA;NA;NA;0.425531915;0;0
Ul-no-cont-7-6;0.233576642;NA;NA;0.218978102;NA;NA;0.423357664;NA;NA;NA;0.109489051;0;0.01459854
Ul-no-OTC-1-3;0.102040816;NA;NA;0.442176871;NA;NA;0.204081633;NA;NA;NA;0.238095238;0.013605442;0
Ul-no-OTC-3-2;0.192;NA;NA;0.32;NA;NA;0.256;NA;NA;NA;0.216;0;0.016
Ul-no-OTC-4-2;0.096;NA;NA;0.56;NA;NA;0.288;NA;NA;NA;0.024;0;0.032
Ul-no-OTC-5-2;0.14893617;NA;NA;0.191489362;NA;NA;0.411347518;NA;NA;NA;0.19858156;0.021276596;0.028368794
Ul-no-OTC-6-4;0.079365079;NA;NA;0.238095238;NA;NA;0.515873016;NA;NA;NA;0.158730159;0;0.007936508
Ul-no-OTC-7-2;0.060606061;NA;NA;0.272727273;NA;NA;0.242424242;NA;NA;NA;0.424242424;0;0
Ul-sp-cont-1-1;0.285714286;0.285714286;0;0.380952381;0.023809524;0.357142857;0.142857143;0.166666667;0.023809524;0;0.142857143;0;0.047619048
Ul-sp-cont-1-2;0.333333333;0.333333333;0;0.238095238;0.095238095;0.142857143;0.285714286;0.285714286;0;0;0.119047619;0;0.023809524
Ul-sp-cont-2-1;0.44198895;0.414364641;0.027624309;0.220994475;0.027624309;0.193370166;0.331491713;0.331491713;0;0;0.005524862;0;0
Ul-sp-cont-2-2;0.142857143;0.142857143;0;0.357142857;0.035714286;0.357142857;0.5;0.5;0.035714286;0;0;0;0
Ul-sp-cont-3-1;0.371428571;0.371428571;0;0.457142857;0.028571429;0.457142857;0.142857143;0.142857143;0.028571429;0;0;0;0.028571429
Ul-sp-cont-4-1;0.338983051;0.338983051;0;0.480225989;0.084745763;0.423728814;0.169491525;0.141242938;0.028248588;0;0;0;0.011299435
Ul-sp-cont-4-2;0.118110236;0.118110236;0;0.393700787;0.039370079;0.393700787;0.472440945;0.472440945;0;0;0;0;0.015748031
Ul-sp-OTC-1-1;0.133333333;0.133333333;0;0.5;0.066666667;0.433333333;0.333333333;0.333333333;0;0;0;0;0.033333333
Ul-sp-OTC-1-2;0.5;0.5;0;0.235294118;0.117647059;0.117647059;0.117647059;0.117647059;0;0;0.058823529;0;0.088235294
Ul-sp-OTC-2-2;0.107142857;0.107142857;0;0.214285714;0.035714286;0.214285714;0.642857143;0.642857143;0;0;0;0;0.035714286
Ul-sp-OTC-3-1;0.08;0.08;0;0.52;0.04;0.52;0.4;0.36;0.04;0;0;0;0
Ul-sp-OTC-3-2;0.266666667;0.266666667;0;0.533333333;0.066666667;0.466666667;0.2;0.2;0.013333333;0;0;0;0
Ul-sp-OTC-4-1;0.041666667;0.041666667;0;0.708333333;0.041666667;0.708333333;0.25;0.083333333;0.166666667;0;0;0;0
Vb-ch-cont-1;0.019398642;NA;NA;0.174587779;NA;NA;0.067895247;0.067895247;0;0;0.038797284;0.000969932;0.698351115
Vb-ch-cont-2;0.3996004;NA;NA;0.1998002;NA;NA;0.03996004;0.03996004;0;0;0.1998002;0.000999001;0.15984016
Vb-ch-cont-4;0.009852217;NA;NA;0.413793103;NA;NA;0.02955665;0.02955665;0;0;0.049261084;0.004926108;0.492610837
Vb-ch-cont-6;0.009756098;NA;NA;0.585365854;NA;NA;0.009756098;0.009756098;0;0;0.097560976;0.004878049;0.292682927
Vb-ch-cont-8;0.531400966;NA;NA;0.241545894;NA;NA;0.096618357;0.096618357;0;0;0.009661836;0.004830918;0.115942029
Vb-ch-OTC-1;0.440744368;NA;NA;0.538687561;NA;NA;0.009794319;0.009794319;0;0;0.009794319;0.000979432;0
Vb-ch-OTC-2;0.029126214;NA;NA;0.582524272;NA;NA;0.097087379;0.097087379;0;0;0.145631068;0.048543689;0.097087379
Vb-ch-OTC-4;0;NA;NA;0.339805825;NA;NA;0.242718447;0.242718447;0;0;0.116504854;0.009708738;0.291262136
Vb-ch-OTC-6;0.36453202;NA;NA;0.443349754;NA;NA;0.098522167;0.098522167;0;0;0.019704433;0.004926108;0.068965517
Vb-ch-OTC-8;0;NA;NA;0.878243513;NA;NA;0.000998004;0.000998004;0;0;0.01996008;0.000998004;0.099800399
Wh-ch-cont-1-2;0.31;NA;NA;0.01;NA;NA;0.25;0.25;0;0;0.05;0.08;0.3
Wh-ch-cont-2-4;0.3;NA;NA;0;NA;NA;0.3;0.3;0;0;0;0.15;0.25
Wh-ch-cont-4-4;0.91;NA;NA;0;NA;NA;0.02;0.02;0;0;0;0.05;0.02
Wh-ch-cont-7-2;0.849150849;NA;NA;0.000999001;NA;NA;0.07992008;0.07992008;0;0;0;0.02997003;0.03996004
Wh-ch-OTC-1-1;0.75;NA;NA;0.03;NA;NA;0.05;0.05;0;0;0;0.02;0.15
Wh-ch-OTC-2-2;0.72;NA;NA;0.01;NA;NA;0.02;0.02;0;0;0.05;0.15;0.05
Wh-ch-OTC-4-2;0.74;NA;NA;0.03;NA;NA;0.03;0.03;0;0;0;0.15;0.05
Wh-ch-OTC-5-4;0.92;NA;NA;0.04;NA;NA;0.04;0.04;0;0;0;0;0
Wh-ch-OTC-7-4;0.447761194;NA;NA;0.004975124;NA;NA;0.029850746;0.029850746;0;0;0;0.31840796;0.199004975
Wl-ch-1-2 WC;0.15;NA;NA;0.2;NA;NA;0.6;0.6;0;0;0;0;0.05
Wl-ch-3-2-WC;0.77;NA;NA;0;NA;NA;0.13;0.13;0;0;0.07;0;0.03
Wl-ch-4-3-WC;0.85;NA;NA;0;NA;NA;0.1;0.1;0;0;0;0;0.05
Wl-ch-6-3WC;0.55;NA;NA;0;NA;NA;0.35;0.35;0;0;0.05;0;0.05
Wl-ch-7-4-WC;0.86;NA;NA;0.03;NA;NA;0.04;0.04;0;0;0.02;0;0.05
Wl-ch-cont-1-3;0.4;NA;NA;0.02;NA;NA;0.1;0.1;0;0;0.43;0;0.05
Wl-ch-cont-3-1;0.55;NA;NA;0.1;NA;NA;0.2;0.2;0;0;0;0;0.15
Wl-ch-cont-4-4;0.65;NA;NA;0;NA;NA;0.2;0.2;0;0;0.05;0;0.1
Wl-ch-cont-7-2;0.65;NA;NA;0;NA;NA;0.05;0.05;0;0;0.3;0;0
Yk-lo-T22AFO;0.288461538;0.269230769;0.019230769;0.019230769;NA;NA;0.653846154;NA;NA;NA;0.038461538;0;0
Yk-lo-T22WFO;0.28;0.24;0.04;0.08;NA;NA;0.64;NA;NA;NA;0;0;0
Yk-lo-T23AFO;0.291666667;0.25;0.041666667;0.041666667;NA;NA;0.666666667;NA;NA;NA;0;0;0
Yk-lo-T23WFO;0.219512195;0.195121951;0.024390244;0.048780488;NA;NA;0.731707317;NA;NA;NA;0;0;0
Yk-lo-T24AFO;0.19047619;0.142857143;0.047619048;0.047619048;NA;NA;0.619047619;NA;NA;NA;0.142857143;0;0
Yk-lo-T24WFO;0.260869565;0.217391304;0.043478261;0.043478261;NA;NA;0.391304348;NA;NA;NA;0.304347826;0;0
Yk-lo-T25AFO;0.08;0.08;0;0.04;NA;NA;0.64;NA;NA;NA;0.24;0;0
Yk-lo-T25WFO;0.5;0.444444444;0.055555556;0;NA;NA;0.5;NA;NA;NA;0;0;0
Yk-lo-T26AFO;0.272727273;0.242424242;0.03030303;0.121212121;NA;NA;0.484848485;NA;NA;NA;0.121212121;0;0
Yk-lo-T26WFO;0.380952381;0.238095238;0.142857143;0.095238095;NA;NA;0.476190476;NA;NA;NA;0.047619048;0;0
Yk-lo-T27AFO;0.37037037;0.148148148;0.222222222;0.037037037;NA;NA;0.592592593;NA;NA;NA;0;0;0
Yk-lo-T27WFO;0.52173913;0.304347826;0.217391304;0.043478261;NA;NA;0.434782609;NA;NA;NA;0;0;0
Yk-up-T42AFO;0.195121951;0;0.195121951;0.292682927;NA;NA;0.024390244;NA;NA;NA;0.195121951;0.292682927;0
Yk-up-T42WFO;0.264150943;0.150943396;0.113207547;0.150943396;NA;NA;0.018867925;NA;NA;NA;0.264150943;0.301886792;0
Yk-up-T43AFO;0.25;0.083333333;0.166666667;0.041666667;NA;NA;0.041666667;NA;NA;NA;0;0.666666667;0
Yk-up-T43WFO;0.184210526;0.026315789;0.157894737;0.026315789;NA;NA;0.526315789;NA;NA;NA;0.210526316;0.052631579;0
Yk-up-T44AFO;0.358974359;0.205128205;0.153846154;0.051282051;NA;NA;0.461538462;NA;NA;NA;0.102564103;0.025641026;0
Yk-up-T44WFO;0.408163265;0.326530612;0.081632653;0.020408163;NA;NA;0.040816327;NA;NA;NA;0;0.530612245;0
Yk-up-T45AFO;0.254545455;0.109090909;0.145454545;0.363636364;NA;NA;0;NA;NA;NA;0.018181818;0.363636364;0
Yk-up-T45WFO;0.368421053;0.263157895;0.105263158;0.263157895;NA;NA;0;NA;NA;NA;0.105263158;0.263157895;0
Yk-up-T46AFO;0.482758621;0.275862069;0.206896552;0.172413793;NA;NA;0.034482759;NA;NA;NA;0.068965517;0.24137931;0
Yk-up-T46WFO;0.426229508;0.196721311;0.229508197;0.196721311;NA;NA;0.016393443;NA;NA;NA;0;0.360655738;0
Yk-up-T47AFO;0.588235294;0.392156863;0.196078431;0.235294118;NA;NA;0;NA;NA;NA;0.156862745;0.019607843;0
Yk-up-T47WFO;0.461538462;0.230769231;0.230769231;0.153846154;NA;NA;0;NA;NA;NA;0.115384615;0.269230769;0
